username,median_views,median_comments,average_views,average_comments,last_video_date,verified,top_hashtags
dearkisha_,428,4.0,645,5.0,2021-03-19,False,"contentcreator, explorepage, explore, fyp, beauty, content, lifestyle, blackgirlmagic, sewingtutorial, grwm, minivlog, makeup, dayinthelife, morning, viral"
dearrruzzi,699,2.0,10.0K,9.0,,False,"morningroutine, morningmotivation, wellness, motivation, 5amclub, 5ammorningroutine, productivemorning, productivemorningroutine, thatgirlroutine, thatgirlmorningroutine, thatgirl, morningvibes, skincareroutine, morningskincareroutine, fyp"
denitsab3auty,661,11.0,1.0K,12.0,2024-05-11,False,"fyp, skincare, koreanskincare, oddlysatisfying, skincareroutine, aesthetic, kbeauty, aesthetics, glassskin, contentcreator, anua, texture, glowingskin, beauty, aestheticvideos"
dreamyglowyskin,555,1.0,591,1.0,2023-01-07,False,"kbeauty, skincare, koreanskincare, skincareroutine, gopicky, skincaretips, aesthetic, soft, pickyreview, skincare101, skincareproducts, koreanmakeup, aesthetics, skincareviral, kbeautymakeup"
dyknicx,495,13.0,729,14.0,2023-09-25,False,"kbeauty, recos, foryou, oliveyoungaffiliate, beautytok, yesstyleinfluencers, makeupph, lippies, glossylips, koreanskincare, fyp, koreanmakeup, skintok, cooltone, warmtone"
edli.ugc,318,5.0,828,6.0,2024-03-08,False,"kbeauty, koreanskincare, skincare, kbeautyskincare, fyp, skincareroutine, glassskin, stylekorean, medicube, medicubeambassador, skintok, skincaretips, koreanskincareproducts, tiktokshopfinds, skin1004"
ellasolves,414,0.0,2.5K,0.0,2021-11-12,False,"ellasolves, ellaafterdark, justagirlwhosolves, greenscreen, foryou, fyp, truecrimecommunity, truecrimeobsessed, truecrimetime, crimetok, truecrimers, truecrimestory, crimetiktok, truecrimeanytime, truecrimetok"
eloise_ugc,1.0K,2.0,1.3K,2.0,2023-03-04,False,"ugcaustralia, contentcreator, ugcexample, ugcexampleaustralia, ugc, contentcalendar, contenthack, notion, contentcreation, entrepreneur, ugcexamplevideo, ugccommunity, gmail, gmailhack, emailhack"
emileerachel,348,2.0,1.1K,3.0,2023-08-11,False,"benefitcosmetics, mominfluencer, stopmotion, averywoods, emiliekiser, bubbleskincare, fyp, tiktokshop, bubble, kitchenreset, edits, ttsbeautybesties, viral, creatorsearchinsights, hoolawave"
ericaz_ugc,,,,,2024-04-21,False,"ugc, ugccommunity, fyp, ugccreator, makeup, grwm, beauty, blush, fashion, spring, fypage, ootd, elflipoil, lipgloss, lipstick"
etherealskinwithrinny,6.6K,41.0,11.8K,41.0,2023-08-18,False,"kbeauty, contentcreator, beauty, skincare, skincareroutine, ugccreator, unboxing, asmr, haul, koreanskincare, girlythings, beautytok, ugc, haultok, blackfridaydeals"
evesbeautylife,387,1.0,1.1K,3.0,2024-03-21,False,"girltherapy, ugc, grwm, beautytips, beauty, skincare, selfcareproducts, ugccreators, girlssupportinggirls, microblog, makeup, girls, girlssupportgirls, microinfluncer, makeuptherapy"
exquisiteexplorerig,675,3.0,597,5.0,2018-07-03,False,"koreanskincare, gopicky, giftedbyipsy, kbeauty, skincare, skincareblogger, pickyreview, skincareproducts, skincarejunkie, skincareaddict, skincareaddiction, skincareinfluencer, skincaregoals, skincarecommunity, skincareobsessed"
